TWD Lot#2,$9.00   / gram,THC: 19.8 / CBD: <0.07
Sun-Grown TWD Lot#5,$9.00   / gram,THC: 18.8 / CBD: <0.07
Birds Eye,$9.00   / gram,THC: 18.6 / CBD: <0.07
TWD Lot #7,$9.00   / gram,THC: 14.6 / CBD: <0.07
Morris,$9.00   / gram,THC: 12.5 / CBD: <0.07
Penelope,$9.00   / gram,THC: 8.0 / CBD: 5.9
Sun-Grown Argyle,$6.00   / gram,THC: 4.5 / CBD: 5.6
Boaty McBoatface,$9.00   / gram,THC: 3.7 / CBD: 9.6
Sun-Grown Boaty McBoatface,$6.00   / gram,THC: 2.3 / CBD: 7.1
TWD Lot#3,$60.00   / bottle,THC: <0.7 / CBD: 10.0
TWD Lot#1,$6.00   / gram,THC: 0.23 / CBD: 6.8
Sun-Grown Red No 4,$7.50   / gram,THC: 17.3 / CBD: <0.07
Sun-Grown Red No 1,$9.50   / gram,THC: 17.0 / CBD: <0.07
Sun-Grown Orange No 4,$8.50   / gram,THC: 16.6 / CBD: <0.07
Sun-Grown Orange No 1,$7.50   / gram,THC: 13.3 / CBD: <0.07
Sun-Grown Orange No 2,$8.50   / gram,THC: 13.0 / CBD: <0.07
Orange No 1,$8.50   / gram,THC: 12.1 / CBD: <0.07
Purple No 1,$8.50   / gram,THC: 11.9 / CBD: <0.07
Purple No 3,$8.50   / gram,THC: 9.4 / CBD: <0.07
blue cannabis oil,$90.00   / bottle,THC: 10.0 / CBD: 15.0
Blue No 3,$9.50   / gram,THC: 9.3 / CBD: 8.5
bedrocan,$8.50   / gram,THC: 22.0 / CBD: <1
bedica,$8.50   / gram,THC: 17.0 / CBD: <1
bedica,$8.50   / gram,THC: 13.9 / CBD: <1
bedrobinol,$8.50   / gram,THC: 14.0 / CBD: <1
bedrobinol,$8.50   / gram,THC: 14.0 / CBD: <1
bediol,$8.50   / gram,THC: 7.0 / CBD: 9.0
bediol,$8.50   / gram,THC: 7.0 / CBD: 9.0
Argyle,$60.00   / bottle,THC: 2.5 / CBD: 4.0
TWD LOT#3,$52.50   / bottle,THC: <0.7 / CBD: 10.0
Sour Kush,$9.00   / gram,THC: 18.6 / CBD: <0.07
Super Lemon OG,$12.00   / gram,THC: 16.6 / CBD: <0.07
